House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
19,Bibi Manors,Jane,Clark,17,Daughter,NA,Female,Student,None,NA
20,Bibi Manors,Connor,Dodd,67,Head,Single,Male,Animator,None,None
21,Bibi Manors,Sally,Jones,49,Head,Single,Female,Unemployed,None,Methodist
21,Bibi Manors,Elliot,Jones,17,Son,NA,Male,Student,None,NA
21,Bibi Manors,Kieran,Jones,13,Son,NA,Male,Student,None,NA
21,Bibi Manors,Hazel,Griffin-Jones,12,Daughter,NA,Female,Student,None,NA
21,Bibi Manors,Abigail,Griffin-Jones,8,Daughter,NA,Female,Student,None,NA
22,Bibi Manors,Marie,Dale,22,Head,Single,Female,University Student,None,Christian
22,Bibi Manors,Bethany,Williams,21,None,Single,Female,University Student,None,Methodist
22,Bibi Manors,Ian,Harris,21,None,Single,Male,University Student,None,Methodist
1,Williams Centers,Zoe,Cunningham,43,Head,Single,Female,Unemployed,None,Christian
1,Williams Centers,Leonard,Cunningham,14,Son,NA,Male,Student,None,NA
1,Williams Centers,Hannah,Cunningham,13,Daughter,NA,Female,Student,None,NA
2,Williams Centers,Billy,Willis,79,Head,Married,Male,"Retired Journalist, newspaper",None,Christian
2,Williams Centers,Marian,Willis,77,Wife,Married,Female,"Retired Sound technician, broadcasting/film/video",None,None
3,Williams Centers,Kevin,Jones,41,Head,Married,Male,Print production planner,None,Methodist
3,Williams Centers,Jodie,Jones,38,Wife,Married,Female,Occupational psychologist,None,Methodist
3,Williams Centers,Victoria,Jones,2,Daughter,NA,Female,Child,None,NA
4,Williams Centers,Susan,Hudson,67,Head,Married,Female,Chartered loss adjuster,None,Catholic
4,Williams Centers,Duncan,Hudson,67,Husband,Married,Male,Unemployed,None,None
4,Williams Centers,Charlie,Hudson,18,Son,Single,Male,Student,None,Catholic
4,Williams Centers,Callum,Hudson,10,Son,NA,Male,Student,Mental Disability,NA
5,Williams Centers,Bruce,Lewis,56,Head,Married,Male,Acupuncturist,None,None
5,Williams Centers,Melissa,Lewis,55,Wife,Married,Female,Transport planner,None,None
5,Williams Centers,Ashleigh,Lewis,21,Daughter,Single,Female,University Student,None,None
6,Williams Centers,Abigail,Peters,70,Head,Married,Female,Retired Barrister's clerk,None,None
6,Williams Centers,Benjamin,Peters,74,Husband,Married,Male,Retired Corporate treasurer,None,None
6,Williams Centers,Philip,Banks,32,None,Married,Male,Mining engineer,None,None
6,Williams Centers,Ellie,Banks,30,None,Married,Female,Surgeon,None,None
6,Williams Centers,Brenda,Banks,10,None,NA,Female,Student,None,NA
7,Williams Centers,Andrew,Field,65,Head,Married,Male,Music therapist,None,Christian
7,Williams Centers,Jenna,Field,59,Wife,Married,Female,Television/film/video producer,None,None
7,Williams Centers,Allan,Field,8,Grandson,NA,Male,Student,None,NA
8,Williams Centers,Matthew,King,34,Head,Married,Male,Financial manager,None,None
8,Williams Centers,Shannon,King,27,Wife,Married,Female,Associate Professor,None,None
8,Williams Centers,Jenna,Walton,43,Lodger,Single,Female,"Editor, magazine features",None,Methodist
8,Williams Centers,Fiona,Miles,40,Lodger,Single,Female,IT sales professional,None,Methodist
9,Williams Centers,Sophie,Jackson,71,Head,Married,Female,Retired Agricultural engineer,None,Christian
9,Williams Centers,Jake,Jackson,73,Husband,Married,Male,Retired Biomedical scientist,None,None
9,Williams Centers,Christine,Jackson,41,Daughter,Divorced,Female,Sub,None,None
9,Williams Centers,Sally,Jackson,37,Daughter,Single,Female,Location manager,None,Christian
9,Williams Centers,Alison,Jackson,37,Daughter,Divorced,Female,Unemployed,None,None
10,Williams Centers,Donna,Davis,53,Head,Married,Female,"Doctor, general practice",None,Christian
10,Williams Centers,Daniel,Davis,53,Husband,Married,Male,Insurance risk surveyor,None,Christian
10,Williams Centers,Pauline,Davis,16,Daughter,NA,Female,Student,None,NA
10,Williams Centers,Alison,Davis,15,Daughter,NA,Female,Student,None,NA
11,Williams Centers,Hollie,Morgan,79,Head,Married,Female,Retired Landscape architect,None,Christian
11,Williams Centers,Nathan,Morgan,85,Husband,Married,Male,"Retired Engineer, production",None,Christian
12,Williams Centers,Deborah,Davies,59,Head,Married,Female,Animal nutritionist,None,Christian
12,Williams Centers,Joe,Davies,60,Husband,Married,Male,Physiotherapist,None,Christian
12,Williams Centers,Bethan,Davies,41,Daughter,Single,Female,Tourism officer,None,None
12,Williams Centers,Damien,Davies,38,Son,Single,Male,Orthoptist,None,Christian
13,Williams Centers,Margaret,James,33,Head,Single,Female,Unemployed,None,None
13,Williams Centers,Tony,Foster,60,Visitor,Divorced,Male,Retail merchandiser,None,Christian
13,Williams Centers,Amy,Lawson,26,Lodger,Single,Female,Pensions consultant,None,None
14,Williams Centers,Helen,Williams,53,Head,Married,Female,"Engineer, site",None,Catholic
14,Williams Centers,Rhys,Williams,55,Husband,Married,Male,Fast food restaurant manager,None,Catholic
14,Williams Centers,Emma,Williams,21,Daughter,Single,Female,University Student,None,None
15,Williams Centers,Samantha,Mistry,55,Head,Single,Female,Fisheries officer,None,None
15,Williams Centers,George,Edwards,57,Partner,Single,Male,"Investment banker, operational",None,None
15,Williams Centers,Diane,Henry,16,Daughter,NA,Female,Student,None,NA
16,Williams Centers,Jessica,Taylor,49,Head,Married,Female,Drilling engineer,None,Christian
16,Williams Centers,Kevin,Taylor,47,Husband,Married,Male,Printmaker,None,Christian
16,Williams Centers,Katie,Taylor,19,Daughter,Single,Female,University Student,None,Christian
17,Williams Centers,Christine,Hamilton,37,Head,Married,Female,"Psychotherapist, dance movement",None,None
17,Williams Centers,Rhys,Hamilton,40,Husband,Married,Male,Colour technologist,None,None
17,Williams Centers,George,Hamilton,2,Son,NA,Male,Child,None,NA
18,Williams Centers,Tina,James,38,Head,Single,Female,Chiropractor,None,Christian
18,Williams Centers,Frank,Parsons,37,Partner,Single,Male,"Lighting technician, broadcasting/film/video",None,Christian
18,Williams Centers,Fiona,James,10,Daughter,NA,Female,Student,None,NA
19,Williams Centers,Catherine,Richardson,36,Head,Married,Female,Naval architect,None,None
19,Williams Centers,Neil,Richardson,38,Husband,Married,Male,Human resources officer,None,None
19,Williams Centers,Gail,Richardson,1,Daughter,NA,Female,Child,None,NA
20,Williams Centers,Marian,White,43,Head,Divorced,Female,"Editor, magazine features",None,None
20,Williams Centers,Gary,White,11,Son,NA,Male,Student,None,NA
20,Williams Centers,Abdul,White,8,Son,NA,Male,Student,None,NA
21,Williams Centers,Toby,Williams,43,Head,Single,Male,"Psychologist, sport and exercise",None,None
21,Williams Centers,Douglas,Khan,56,Lodger,Widowed,Male,Market researcher,None,Christian
21,Williams Centers,Shirley,Singh,41,Lodger,Single,Female,Public house manager,None,Christian
22,Williams Centers,Nigel,Day,52,Head,Widowed,Male,Trade union research officer,None,Christian
22,Williams Centers,Stephanie,Ford,50,None,Single,Female,"Engineer, agricultural",None,None
22,Williams Centers,Denis,Spencer,57,None,Single,Male,Geophysical data processor,None,Catholic
23,Williams Centers,Antony,Hawkins,56,Head,Married,Male,"Psychologist, educational",None,Christian
23,Williams Centers,Wendy,Hawkins,54,Wife,Married,Female,Operations geologist,None,Christian
23,Williams Centers,Patrick,Hawkins,15,Son,NA,Male,Student,None,NA
24,Williams Centers,Paula,Taylor,41,Head,Single,Female,"Education officer, environmental",None,None
24,Williams Centers,Vincent,Edwards,44,Partner,Single,Male,Location manager,None,None
24,Williams Centers,Harriet,Taylor,6,Daughter,NA,Female,Student,None,NA
24,Williams Centers,Stephanie,Taylor,5,Daughter,NA,Female,Student,None,NA
25,Williams Centers,Christine,Giles,39,Head,Married,Female,Therapeutic radiographer,None,None
25,Williams Centers,Terence,Giles,42,Husband,Married,Male,Armed forces training and education officer,None,None
25,Williams Centers,Rebecca,Giles,17,Daughter,NA,Female,Student,None,NA
26,Williams Centers,Julia,Vaughan,31,Head,Divorced,Female,Animal nutritionist,Blind,None
26,Williams Centers,Leigh,Kelly,39,Sibling,Single,Male,Fisheries officer,None,Catholic
26,Williams Centers,Teresa,Wheeler,37,Visitor,Divorced,Female,Energy manager,None,Catholic
26,Williams Centers,Ashley,Lewis,34,Lodger,Single,Male,Heritage manager,None,Catholic
26,Williams Centers,Hannah,Roberts,48,Lodger,Single,Female,Structural engineer,None,Methodist
27,Williams Centers,Lynda,Walker,37,Head,Married,Female,Unemployed,None,Catholic
27,Williams Centers,Antony,Walker,36,Husband,Married,Male,Media buyer,None,Catholic
27,Williams Centers,Natalie,Walker,3,Daughter,NA,Female,Child,None,NA
28,Williams Centers,Rita,Wall,49,Head,Married,Female,"Engineer, chemical",None,Christian
28,Williams Centers,Leslie,Wall,48,Husband,Married,Male,"Conservator, furniture",Physical Disability,None
28,Williams Centers,Margaret,Wall,16,Daughter,NA,Female,Student,None,NA
29,Williams Centers,Carolyn,Begum,49,Head,Divorced,Female,Site engineer,None,Christian
29,Williams Centers,Stephen,Gilbert,12,Grandson,NA,Male,Student,None,NA
30,Williams Centers,Bethan,Thomas,34,Head,Single,Female,Tour manager,None,Catholic
30,Williams Centers,Gary,Lee,32,Partner,Single,Male,Tour manager,None,Catholic
30,Williams Centers,Claire,Thomas,5,Daughter,NA,Female,Student,None,NA
30,Williams Centers,Duncan,Thomas,4,Son,NA,Male,Child,None,NA
30,Williams Centers,Marilyn,Thomas,2,Daughter,NA,Female,Child,None,NA
31,Williams Centers,Marie,Smith,36,Head,Single,Female,Unemployed,None,Methodist
31,Williams Centers,Aaron,Smith,12,Son,NA,Male,Student,None,NA
31,Williams Centers,Ricky,Singh,11,Son,NA,Male,Student,None,NA
32,Williams Centers,Cameron,Pearson,20,Head,Single,Male,University Student,None,Christian
32,Williams Centers,Mary,Day,22,None,Single,Female,University Student,None,None
32,Williams Centers,Annette,Long,19,None,Single,Female,University Student,None,None
32,Williams Centers,Donna,Sharp,22,None,Single,Female,University Student,None,Christian
33,Williams Centers,Ryan,Evans,35,Head,Married,Male,Animator,None,Christian
33,Williams Centers,Mandy,Evans,29,Wife,Married,Female,Theme park manager,None,Christian
33,Williams Centers,Gemma,Evans,7,Daughter,NA,Female,Student,Physical Disability,NA
34,Williams Centers,Amy,Jones,48,Head,Married,Female,Furniture conservator/restorer,None,Christian
34,Williams Centers,Leonard,Harvey,53,Husband,Married,Male,Personnel officer,None,Christian
34,Williams Centers,Jonathan,Jones,15,Son,NA,Male,Student,None,NA
35,Williams Centers,Teresa,White,43,Head,Single,Female,Unemployed,None,None
35,Williams Centers,Fiona,White,6,Daughter,NA,Female,Student,None,NA
35,Williams Centers,Emily,White,5,Daughter,NA,Female,Student,None,NA
35,Williams Centers,Christopher,White,4,Son,NA,Male,Child,None,NA
35,Williams Centers,Cameron,Griffiths,27,Lodger,Divorced,Male,Hydrogeologist,None,None
36,Williams Centers,Christine,Austin,31,Head,Single,Female,"Accountant, chartered",None,Christian
36,Williams Centers,Stuart,Green,34,Partner,Single,Male,Air cabin crew,None,None
36,Williams Centers,Russell,Jones-Austin,6,Son,NA,Male,Student,None,NA
37,Williams Centers,Caroline,Smith,52,Head,Single,Female,Unemployed,None,Christian
37,Williams Centers,Damian,Smith,7,Son,NA,Male,Student,None,NA
37,Williams Centers,Christine,Smith,6,Daughter,NA,Female,Student,None,NA
37,Williams Centers,Eileen,Smith,2,Daughter,NA,Female,Child,None,NA
37,Williams Centers,Sally,Evans,34,Visitor,Divorced,Female,Ranger/warden,None,None
38,Williams Centers,Bradley,Davidson,28,Head,Married,Male,Broadcast journalist,None,None
38,Williams Centers,Jill,Davidson,27,Wife,Married,Female,Health physicist,None,None
38,Williams Centers,Janice,Davidson,5,Daughter,NA,Female,Student,None,NA
39,Williams Centers,Cameron,Fletcher,21,Head,Single,Male,University Student,None,Catholic
39,Williams Centers,Pauline,Murray,22,None,Single,Female,University Student,None,None
39,Williams Centers,Elaine,Jones,21,None,Single,Female,University Student,None,Christian
39,Williams Centers,Shannon,West,22,None,Single,Female,University Student,None,None
40,Williams Centers,Pamela,Lloyd,42,Head,Married,Female,Paediatric nurse,None,Catholic
40,Williams Centers,Owen,Lloyd,49,Husband,Married,Male,Patent attorney,None,Catholic
40,Williams Centers,Mandy,Lloyd,13,Daughter,NA,Female,Student,None,NA
40,Williams Centers,Eric,Lloyd,10,Son,NA,Male,Student,None,NA
41,Williams Centers,Barry,Rose,50,Head,Married,Male,Learning disability nurse,None,None
41,Williams Centers,Lindsey,Rose,50,Wife,Married,Female,"Editor, commissioning",None,None
42,Williams Centers,Debra,Thompson,41,Head,Married,Female,Homeopath,None,Muslim
42,Williams Centers,Denis,Thompson,44,Husband,Married,Male,"Scientist, water quality",None,Muslim
42,Williams Centers,Carol,Thompson,24,Daughter,Single,Female,Geographical information systems officer,None,None
43,Williams Centers,Natalie,Fry,42,Head,Single,Female,Sports coach,None,None
43,Williams Centers,Ricky,Hughes,34,None,Single,Male,Chief Strategy Officer,None,None
43,Williams Centers,Kimberley,Bull,51,None,Single,Female,"Geologist, engineering",None,Christian
44,Williams Centers,Bethany,Spencer,45,Head,Married,Female,"Surveyor, commercial/residential",None,None
44,Williams Centers,Iain,Spencer,47,Husband,Married,Male,"Scientist, research (life sciences)",None,None
44,Williams Centers,Marilyn,Spencer,12,Daughter,NA,Female,Student,None,NA
44,Williams Centers,Charlene,Spencer,8,Daughter,NA,Female,Student,None,NA
44,Williams Centers,Garry,Spencer,5,Son,NA,Male,Student,None,NA
45,Williams Centers,Debra,Lloyd,33,Head,Married,Female,"Scientist, research (maths)",None,None
45,Williams Centers,Billy,Lloyd,35,Husband,Married,Male,Police officer,None,None
46,Williams Centers,Debra,Cunningham,52,Head,Married,Female,"Scientist, audiological",None,Christian
46,Williams Centers,Thomas,Cunningham,59,Husband,Married,Male,"Engineer, manufacturing",None,None
46,Williams Centers,Howard,Cunningham,12,Son,NA,Male,Student,None,NA
47,Williams Centers,Vanessa,Steele,34,Head,Married,Female,Volunteer coordinator,None,Christian
47,Williams Centers,Steven,Steele,36,Husband,Married,Male,"Designer, interior/spatial",None,Christian
47,Williams Centers,Maria,Steele,10,Daughter,NA,Female,Student,None,NA
48,Williams Centers,Hayley,Chambers,54,Head,Divorced,Female,Call centre manager,None,Methodist
48,Williams Centers,Kathleen,Chambers,11,Daughter,NA,Female,Student,None,NA
48,Williams Centers,Jacob,Chambers,9,Son,NA,Male,Student,None,NA
49,Williams Centers,Charlotte,Douglas,55,Head,Single,Female,Data scientist,None,None
49,Williams Centers,Charlie,Lowe,54,Partner,Single,Male,Sports therapist,None,None
49,Williams Centers,Glenn,Douglas,15,Son,NA,Male,Student,None,NA
49,Williams Centers,Georgia,Douglas,11,Daughter,NA,Female,Student,None,NA
50,Williams Centers,Barry,Wilson,64,Head,Single,Male,Chief of Staff,None,Catholic
50,Williams Centers,Michael,Glover,31,None,Single,Male,Engineering geologist,None,None
50,Williams Centers,Ronald,Khan,33,None,Single,Male,Unemployed,None,None
1,Walker Points,Mandy,Wade,50,Head,Married,Female,"Radiographer, therapeutic",None,None
1,Walker Points,Jason,Wade,56,Husband,Married,Male,Tour manager,None,None
1,Walker Points,Geoffrey,Wade,20,Son,Single,Male,University Student,None,None
1,Walker Points,Cheryl,Wade,16,Daughter,NA,Female,Student,None,NA
2,Walker Points,Amanda,Clark,33,Head,Married,Female,Sales executive,None,None
2,Walker Points,Dominic,Clark,30,Husband,Married,Male,Financial controller,None,None
2,Walker Points,Jenna,Clark,8,Daughter,NA,Female,Student,None,NA
2,Walker Points,Josephine,Clark,7,Daughter,NA,Female,Student,None,NA
3,Walker Points,Colin,Thompson,37,Head,Single,Male,Tour manager,None,Christian
4,Walker Points,Carol,Stevenson,61,Head,Married,Female,English as a foreign language teacher,None,Sikh
4,Walker Points,Kenneth,Stevenson,63,Husband,Married,Male,Press photographer,None,Sikh
4,Walker Points,Lynne,Stevenson,26,Daughter,Divorced,Female,Dramatherapist,None,Sikh
4,Walker Points,Ruth,Stevenson,23,Daughter,Single,Female,IT trainer,None,None
5,Walker Points,Rachel,Barber,60,Head,Widowed,Female,Training and development officer,None,Catholic
5,Walker Points,Mary,Barber,33,Daughter,Divorced,Female,Office manager,None,Catholic
5,Walker Points,Douglas,Barber,31,Son,Single,Male,Dealer,None,Catholic
5,Walker Points,Max,Barber,29,Son,Single,Male,Nature conservation officer,None,Catholic
6,Walker Points,Callum,Gill,36,Head,Married,Male,Chiropractor,None,None
6,Walker Points,Wendy,Gill,34,Wife,Married,Female,Dietitian,None,None
6,Walker Points,Pauline,Gill,11,Daughter,NA,Female,Student,None,NA
6,Walker Points,June,Gill,8,Daughter,NA,Female,Student,None,NA
7,Walker Points,Graeme,Harvey,41,Head,Single,Male,Senior tax professional/tax inspector,None,Christian
7,Walker Points,Sharon,Smith,41,Partner,Single,Female,Legal executive,None,Christian
7,Walker Points,Terry,Harvey,12,Son,NA,Male,Student,None,NA
7,Walker Points,Sarah,Harvey,9,Daughter,NA,Female,Student,None,NA
8,Walker Points,Katherine,Ahmed,38,Head,Married,Female,Therapeutic radiographer,None,None
8,Walker Points,Brett,Ahmed,40,Husband,Married,Male,Unemployed,None,None
8,Walker Points,Ashley,Ahmed,1,Son,NA,Male,Child,None,NA
8,Walker Points,Sheila,Faulkner,43,Lodger,Divorced,Female,Marketing executive,None,None
9,Walker Points,Michelle,Wood,26,Head,Married,Female,"Engineer, manufacturing",None,None
9,Walker Points,Mathew,Wood,27,Husband,Married,Male,Diplomatic Services operational officer,None,None
9,Walker Points,Simon,Wood,8,Son,NA,Male,Student,None,NA
9,Walker Points,Peter,Wood,4,Son,NA,Male,Child,None,NA
10,Walker Points,Raymond,Hill,46,Head,Single,Male,Outdoor activities/education manager,None,Christian
10,Walker Points,Alan,Harper,32,None,Single,Male,"Doctor, general practice",None,Catholic
11,Walker Points,Molly,Hale,41,Head,Married,Female,"Accountant, chartered management",None,None
11,Walker Points,Victor,Hale,44,Husband,Married,Male,Emergency planning/management officer,None,None
11,Walker Points,Janet,Hale,41,Cousin,Single,Female,Educational psychologist,None,None
11,Walker Points,Lewis,Hale,42,Cousin,Single,Male,Unemployed,None,None
12,Walker Points,Vincent,Howarth,53,Head,Single,Male,Unemployed,None,Christian
12,Walker Points,Josephine,Edwards,51,Partner,Single,Female,Banker,None,None
13,Walker Points,Gemma,Edwards,58,Head,Married,Female,Unemployed,None,Christian
13,Walker Points,Benjamin,Edwards,60,Husband,Married,Male,Counsellor,None,None
14,Walker Points,Lisa,Patel,94,Head,Widowed,Female,Retired Information officer,None,None
15,Walker Points,Ann,Smith,66,Head,Divorced,Female,Race relations officer,None,Catholic
15,Walker Points,Frances,Smith,40,Daughter,Single,Female,Quantity surveyor,None,Catholic
15,Walker Points,Andrea,Smith,36,Daughter,Single,Female,Unemployed,None,Methodist
15,Walker Points,Wayne,Smith,33,Son,Single,Male,Further education lecturer,None,Catholic
15,Walker Points,Gemma,Smith,31,Daughter,Divorced,Female,"Engineer, drilling",None,None
15,Walker Points,Pamela,Smith,28,Daughter,Single,Female,General practice doctor,None,None
16,Walker Points,Jacob,Campbell,50,Head,Divorced,Male,Health physicist,None,Catholic
16,Walker Points,Laura,Campbell,10,Daughter,NA,Female,Student,None,NA
16,Walker Points,Tracy,Campbell,8,Daughter,NA,Female,Student,None,NA
16,Walker Points,Jenna,Campbell,4,Daughter,NA,Female,Child,None,NA
17,Walker Points,Leanne,Hayes,26,Head,Married,Female,"Engineer, biomedical",None,None
17,Walker Points,Nathan,Hayes,28,Husband,Married,Male,Network engineer,None,None
17,Walker Points,Jeffrey,Newman,32,Visitor,Single,Male,Sports administrator,None,Catholic
17,Walker Points,Aimee,Thornton,41,Lodger,Single,Female,Clinical psychologist,None,None
18,Walker Points,Holly,Cole,58,Head,Married,Female,Operations geologist,None,Christian
18,Walker Points,Norman,Cole,60,Husband,Married,Male,Senior tax professional/tax inspector,None,Christian
18,Walker Points,Abdul,Cole,36,Son,Divorced,Male,Publishing rights manager,None,Christian
18,Walker Points,Kenneth,Cole,29,Son,Divorced,Male,Local government officer,None,None
19,Walker Points,Debra,Kelly,32,Head,Single,Female,Unemployed,None,None
19,Walker Points,Leslie,Kelly,5,Son,NA,Male,Student,None,NA
19,Walker Points,Geraldine,Walker,1,Daughter,NA,Female,Child,None,NA
19,Walker Points,Christopher,Taylor,47,Lodger,Single,Male,Paramedic,None,None
20,Walker Points,Katy,Ford,22,Head,Married,Female,University Student,None,None
20,Walker Points,Abdul,Ford,25,Husband,Married,Male,Unemployed,None,None
20,Walker Points,Francesca,Ford,1,Daughter,NA,Female,Child,None,NA
20,Walker Points,Charlie,Iqbal,48,Lodger,Single,Male,Unemployed,None,Christian
21,Walker Points,Shirley,Harris,59,Head,Married,Female,Insurance account manager,None,Christian
21,Walker Points,Donald,Harris,60,Husband,Married,Male,Corporate investment banker,None,None
21,Walker Points,Tony,Harris,25,Son,Widowed,Male,Applications developer,None,Christian
21,Walker Points,Keith,Harris,24,Son,Single,Male,Company secretary,None,Christian
21,Walker Points,Donna,Harris,11,Daughter,NA,Female,Student,None,NA
22,Walker Points,Melanie,Evans,39,Head,Married,Female,"Development worker, community",None,Christian
22,Walker Points,Bruce,Evans,41,Husband,Married,Male,Associate Professor,None,Christian
22,Walker Points,Jacob,Evans,13,Son,NA,Male,Student,None,NA
23,Walker Points,Samuel,Brown,28,Head,Single,Male,"Pilot, airline",None,Catholic
23,Walker Points,Jade,Miles,63,None,Single,Female,Unemployed,None,Christian
23,Walker Points,Lydia,Marshall,32,None,Single,Female,Production engineer,None,Catholic
23,Walker Points,Shannon,King,55,None,Single,Female,Social worker,None,Christian
24,Walker Points,Howard,Mills,55,Head,Divorced,Male,Race relations officer,None,Catholic
24,Walker Points,Caroline,Hewitt,15,Granddaughter,NA,Female,Student,None,NA
24,Walker Points,Ricky,Hewitt,13,Grandson,NA,Male,Student,None,NA
24,Walker Points,Ross,Lambert,13,Grandson,NA,Male,Student,None,NA
25,Walker Points,Abigail,Johnson,43,Head,Divorced,Female,"Therapist, sports",None,Christian
25,Walker Points,Lucy,Johnson,10,Daughter,NA,Female,Student,None,NA
25,Walker Points,Donna,Johnson,6,Daughter,NA,Female,Student,None,NA
25,Walker Points,Ashley,Johnson,5,Son,NA,Male,Student,None,NA
26,Walker Points,Carole,Stephens,52,Head,Married,Female,Systems analyst,None,None
26,Walker Points,Sam,Stephens,51,Husband,Married,Male,"Editor, commissioning",None,None
26,Walker Points,Andrea,Stephens,25,Daughter,Divorced,Female,Unemployed,None,None
